club,address,lat,lng
DAUPHINS TOULOUSE OEC,54 Rue des 7 Troubadours  31000 Toulouse  France,43.6074926,1.4550615
MONTPELLIER METROPOLE NATATION,195 Av. Jacques Cartier  34000 Montpellier  France,43.6070645,3.8930481
CN MARSEILLE,Bd Charles Livon  13007 Marseille  France,43.291909,5.3540312
MULHOUSE ON,51 Bd Charles Stoessel  68200 Mulhouse  France,47.7346162,7.3197592
STADE BÉTHUNE PÉLICAN CLUB,Av. du Pont des Dames  62400 Béthune  France,50.5334858,2.6307715
VALENCE TRIATHLON,Maison de la vie associative  74 Rte de Montelier  26000 Valence  France,44.9360387,4.9195708
CNO ST-GERMAIN-EN-LAYE,Av. des Loges  78100 Saint-Germain-en-Laye  France,48.90352379999999,2.0938304
STADE BÉTHUNE PÉLICAN CLUB,Av. du Pont des Dames  62400 Béthune  France,50.5334858,2.6307715
CANET 66 NATATION,,,
AMIENS METROPOLE NAT.,Pl. de l'Hôtel de ville  80000 Amiens  France,49.8946336,2.2955102
CHARLEVILLE-MÉZIÈRES NATATION,8 Rue de Harar  08000 Charleville-Mézières  France,49.7853601,4.7115884
DAUPHINS D'ANNECY,95 Chem. des Fins N  74000 Annecy  France,45.9205042,6.1216354
DUNKERQUE NATATION,1 Pl. Paul Asseman  59140 Dunkerque  France,51.0476155,2.3863627
NANTES NATATION,13 Chau. de la Madeleine  44000 Nantes  France,47.2112692,-1.5516664
OLYMPIC NICE NATATION,4545 Av. Pierre-De Coubertin  Montréal  QC H1V 3N7  Canada,43.70912885200593, 7.252163746030647
SA MÉRIGNAC,Rue François Arago  33700 Mérignac  France,44.8555545,-0.6701395
