id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
1;1;0;6.89;-1;0;32.05;50;33.02
2;1;50;39.65;-1;0;68.69;100;70.11
3;2;0;6.13;-1;0;25.94;50;27.22
4;2;50;31.84;-1;0;55.95;100;56.45
5;3;0;6.29;-1;0;26.35;50;27.59
6;3;50;32.88;-1;0;55.89;100;56.51
7;4;0;7.17;-1;0;27.74;50;29.26
8;4;50;35.18;-1;0;55.04;100;55.29
9;5;0;-1;-1;0;-1;50;24.2
10;5;50;-1;-1;0;-1;100;49.04
11;6;0;-1;-1;0;-1;50;23.79
12;6;50;-1;-1;0;-1;100;49.29
13;7;0;-1;-1;0;-1;50;23.88
14;7;50;-1;-1;0;-1;100;49.36
15;8;0;-1;-1;0;-1;50;24.08
16;8;50;-1;-1;0;-1;100;49.87
19;10;0;-1;-1;0;-1;50;28.55
20;10;50;-1;-1;0;-1;100;59.64
21;10;100;-1;-1;0;-1;150;91.16
22;10;150;-1;-1;0;-1;200;119.7
23;11;0;0.37;-1;0;0.37;50;28.53
24;11;50;-1;-1;0;-1;100;59.19
25;11;100;-1;-1;0;-1;150;90.97
26;11;150;-1;-1;0;-1;200;122.48
27;12;0;5.67;-1;0;24.06;50;24.35
28;13;0;6.24;-1;0;24.9;50;25.57
29;14;0;-1;-1;0;-1;50;25.26
30;15;0;4.77;-1;0;22.32;50;22.39
31;16;0;5.24;-1;0;22.7;50;23.02
32;17;0;-1;-1;0;-1;50;31.61
33;17;50;-1;-1;0;-1;100;65.29
34;17;100;-1;-1;0;-1;150;99.19
35;17;150;-1;-1;0;-1;200;132.94
36;18;0;-1;-1;0;-1;50;32
37;18;50;-1;-1;0;-1;100;66.71
38;18;100;-1;-1;0;-1;150;103.38
39;18;150;-1;-1;0;-1;200;139.76
40;19;0;6.56;-1;0;31.59;50;32.4
47;23;0;6.48;-1;0;26;50;27.2
48;23;50;31.4;-1;0;56.06;100;56.65
49;24;0;-1;-1;0;-1;50;26.41
50;24;50;-1;-1;0;-1;100;53.53
51;25;0;-1;-1;0;-1;50;27.84
52;25;50;-1;-1;0;-1;100;56.72
53;26;0;-1;-1;0;-1;50;23.79
54;26;50;-1;-1;0;-1;100;49.44
55;27;0;-1;-1;0;-1;50;23.54
56;27;50;-1;-1;0;-1;100;48.28
57;28;0;-1;-1;0;-1;50;24.27
58;28;50;-1;-1;0;-1;100;50.07
63;31;0;-1;-1;0;-1;50;30.49
64;31;50;-1;-1;0;-1;100;64.5
65;31;100;-1;-1;0;-1;150;100.87
66;31;150;-1;-1;0;-1;200;135.85
67;31;200;-1;-1;0;-1;250;175.04
68;31;250;-1;-1;0;-1;300;214.72
69;31;300;-1;-1;0;-1;350;247.93
70;31;350;-1;-1;0;-1;400;280.12
71;32;0;-1;-1;0;-1;50;32.02
72;32;50;-1;-1;0;-1;100;66.23
73;32;100;-1;-1;0;-1;150;100.71
74;32;150;-1;-1;0;-1;200;134.99
75;33;0;-1;-1;0;-1;50;32.25
76;33;50;-1;-1;0;-1;100;67.37
77;33;100;-1;-1;0;-1;150;103.7
78;33;150;-1;-1;0;-1;200;138.86
79;34;0;-1;-1;0;-1;50;28.46
80;34;50;-1;-1;0;-1;100;59.26
81;34;100;-1;-1;0;-1;150;90.26
82;34;150;-1;-1;0;-1;200;118.38
83;35;0;-1;-1;0;-1;50;28.52
84;35;50;-1;-1;0;-1;100;59.52
85;35;100;-1;-1;0;-1;150;90.99
86;35;150;-1;-1;0;-1;200;121.76
87;36;0;-1;-1;0;-1;50;27.41
88;36;50;-1;-1;0;-1;100;58.52
89;36;100;-1;-1;0;-1;150;90.61
90;36;150;-1;-1;0;-1;200;122.02
91;37;0;5.6;-1;0;24.74;50;25.1
92;38;0;4.8;-1;0;21.84;50;22.12
93;39;0;5.53;-1;0;24.33;50;24.89
94;40;0;5.07;-1;0;21.94;50;22.05
95;41;0;5.39;-1;0;24.12;50;24.23
96;42;0;5.45;-1;0;24.07;50;24.14
97;43;0;5.75;-1;0;23.75;50;24.93
98;43;50;28.35;-1;0;50.8;100;51.96
99;43;100;55.38;-1;0;78.85;150;79.91
100;43;150;83.47;-1;0;107.73;200;108.02
101;44;0;5.67;-1;0;23.63;50;25.06
102;44;50;28.64;-1;0;51.21;100;52.27
103;44;100;55.73;-1;0;79.07;150;80.24
104;44;150;84.04;-1;0;107.89;200;108.32
