id;nom;prenom;anneeDeNaissance;sexe;nationalite;club
1025151;ATSU;Jonathan;19960101;m;FRA;DAUPHINS TOULOUSE OEC
1683523;AUBRY;David;19960101;m;FRA;MONTPELLIER METROPOLE NATATION
1155520;BEROL;Julien;20010101;m;FRA;CN MARSEILLE
1150269;BIDARD;Clément;20010101;m;FRA;MULHOUSE ON
720557;BONNET;Charlotte;19950101;f;FRA;OLYMPIC NICE NATATION
569053;BOUCHAUT;Joris;19950101;m;FRA;DAUPHINS TOULOUSE OEC
1076939;BUSSIERE;Theo;19950101;m;FRA;CN MARSEILLE
1413946;CARNEZ;Oceane;20020101;f;FRA;STADE BÉTHUNE PÉLICAN CLUB
424393;CINI;Mathilde;19940101;f;FRA;VALENCE TRIATHLON
1724832;DELMAS;Justine;20050101;f;FRA;CNO ST-GERMAIN-EN-LAYE
1085477;DUHAMEL;Cyrielle;20000101;f;FRA;STADE BÉTHUNE PÉLICAN CLUB
600630;FABRE;Margaux;19920101;f;FRA;CANET 66 NATATION
888067;FUCHS;Roman;19980101;m;FRA;AMIENS METROPOLE NAT.
842444;GROUSSET;Maxime;19990101;m;FRA;AMIENS METROPOLE NAT.
629072;HENIQUE;Mélanie;19920101;f;FRA;CN MARSEILLE
419164;HERLEM;Antoine;19990101;m;FRA;DAUPHINS TOULOUSE OEC
681980;JOLY;Damien;19920101;m;FRA;MONTPELLIER METROPOLE NATATION
158014;MANAUDOU;Florent;19900101;m;FRA;CN MARSEILLE
1376245;MARCHAND;Léon;20020101;m;FRA;DAUPHINS TOULOUSE OEC
622289;MARTIN;Anouchka;19930101;f;FRA;CN MARSEILLE
969675;MATTENET;Emilien;20000101;m;FRA;CHARLEVILLE-MÉZIÈRES NATATION
319802;METELLA;Mehdy;19920101;m;FRA;CN MARSEILLE
1172496;NDOYE BROUARD;Yohann;20000101;m;FRA;DAUPHINS D'ANNECY
1466696;NOWACZYK;Lison;20030101;f;FRA;STADE BÉTHUNE PÉLICAN CLUB
714469;OLIVIER;Marc-Antoine;19960101;m;FRA;DUNKERQUE NATATION
1186968;ORANGE;Maxence;19980101;m;FRA;NANTES NATATION
713589;POTHAIN;Jordan;19940101;m;FRA;OLYMPIC NICE NATATION
1020299;RIHOUX;Charles;19980101;m;FRA;OLYMPIC NICE NATATION
1155613;TESIC;Enzo;20000101;m;FRA;AMIENS METROPOLE NAT.
1477472;TESSARIOL;Lucile;20040101;f;FRA;SA MÉRIGNAC
1230332;TOMAC;Mewen;20010101;m;FRA;AMIENS METROPOLE NAT.
608455;TOUATI;Assia;19950101;f;FRA;DAUPHINS TOULOUSE OEC
764954;VIQUERAT;Antoine;19980101;m;FRA;DAUPHINS TOULOUSE OEC
961314;WATTEL;Marie;19970101;f;FRA;CN MARSEILLE
632125;LESAFFRE;Fantine;19941110;f;FRA;b''
472571;GASTALDELLO;Beryl;19950216;f;FRA;b''
